"Pais","Region","fecha","idEmail","TotalRecipients","bounce","SuccessfulRecipients","uniqueOpens","OpenRate","uniqueClicks","consideracion","satisfaccion","anio","mes","dia","nombreDia","mesNombre"
"Islas_Caiman","Caribe",2016-10-17,"EAuL11717hDvV63",80,29,51,36,0.71,27,5,7,2016,10,17,"Lunes","Octubre"
"Jamaica","Caribe",2016-10-14,"EAuL11927aGmM38",73,29,44,37,0.84,30,5,7,2016,10,14,"Viernes","Octubre"
"Curazao","Caribe",2016-09-17,"EAuL12038xAxX68",100,41,59,48,0.81,2,5,9,2016,9,17,"Sábado","Septiembre"
"Rep_Dominicana","Caribe",2015-11-28,"EAuL12100rEwW23",87,28,59,33,0.56,23,5,6,2015,11,28,"Sábado","Noviembre"
"Haiti","Caribe",2016-10-30,"EAuL11923rPnN108",82,34,48,42,0.88,21,2,1,2016,10,30,"Domingo","Octubre"
"Trinidad_y_Tobago","Caribe",2016-05-03,"EAuL12114pTqQ88",24,5,19,12,0.63,2,4,6,2016,5,3,"Martes","Mayo"
"Guadalupe","Caribe",2015-01-28,"EAuL11977eNtT1010",87,39,48,45,0.94,28,3,8,2015,1,28,"Miércoles","Enero"
"Trinidad_y_Tobago","Caribe",2015-10-29,"EAuL12022jZzZ105",62,14,48,22,0.46,22,2,4,2015,10,29,"Jueves","Octubre"
"Trinidad_y_Tobago","Caribe",2016-04-26,"EAuL11927fFvV27",31,5,26,11,0.42,12,4,10,2016,4,26,"Martes","Abril"
"Islas_Caiman","Caribe",2015-09-12,"EAuL12084kHtT78",97,31,66,38,0.58,19,1,6,2015,9,12,"Sábado","Septiembre"
"Haiti","Caribe",2015-03-03,"EAuL12109gHhH43",77,32,45,37,0.82,20,5,10,2015,3,3,"Martes","Marzo"
"Islas_Caiman","Caribe",2015-07-04,"EAuL11892gJuU94",42,9,33,16,0.48,9,3,7,2015,7,4,"Sábado","Julio"
"Guadalupe","Caribe",2016-05-18,"EAuL11999wRoO61",42,7,35,12,0.34,26,4,1,2016,5,18,"Miércoles","Mayo"
"Curazao","Caribe",2015-09-22,"EAuL11932pNyY310",88,39,49,44,0.9,13,1,9,2015,9,22,"Martes","Septiembre"
"Jamaica","Caribe",2015-10-27,"EAuL11941vLrR79",64,19,45,25,0.56,11,5,1,2015,10,27,"Martes","Octubre"
"San_Martín","Caribe",2015-03-19,"EAuL11993yNzZ35",45,18,27,26,0.96,28,4,7,2015,3,19,"Jueves","Marzo"
"Santa_Lucía","Caribe",2015-11-06,"EAuL12144lBaA15",36,9,27,10,0.37,14,3,10,2015,11,6,"Viernes","Noviembre"
"Jamaica","Caribe",2016-01-02,"EAuL11843tJqQ21",80,30,50,35,0.7,21,4,2,2016,1,2,"Sábado","Enero"
"Trinidad_y_Tobago","Caribe",2015-03-21,"EAuL12040xOnN63",76,33,43,41,0.95,15,3,3,2015,3,21,"Sábado","Marzo"
"Trinidad_y_Tobago","Caribe",2016-07-16,"EAuL12021dGhH103",110,40,70,45,0.64,21,1,4,2016,7,16,"Sábado","Julio"
"Jamaica","Caribe",2015-03-24,"EAuL12158qJsS58",94,39,55,46,0.84,24,1,8,2015,3,24,"Martes","Marzo"
"Guadalupe","Caribe",2016-03-24,"EAuL12069kPnN310",38,4,34,5,0.15,26,2,6,2016,3,24,"Jueves","Marzo"
"Jamaica","Caribe",2016-03-08,"EAuL11909sYlL32",59,13,46,19,0.41,16,2,9,2016,3,8,"Martes","Marzo"
"Haiti","Caribe",2015-06-23,"EAuL11921dNxX14",111,45,66,50,0.76,2,4,10,2015,6,23,"Martes","Junio"
"San_Martín","Caribe",2015-01-17,"EAuL12072vBhH78",100,41,59,46,0.78,4,1,9,2015,1,17,"Sábado","Enero"
"Guadalupe","Caribe",2015-03-04,"EAuL12119rSkK84",58,20,38,25,0.66,7,5,3,2015,3,4,"Miércoles","Marzo"
"Barbados","Caribe",2016-03-24,"EAuL11895bNgG79",85,33,52,39,0.75,16,5,4,2016,3,24,"Jueves","Marzo"
"Jamaica","Caribe",2015-04-17,"EAuL12089gYbB83",90,37,53,45,0.85,28,4,5,2015,4,17,"Viernes","Abril"
"Curazao","Caribe",2016-07-23,"EAuL12174cObB210",92,34,58,39,0.67,14,4,10,2016,7,23,"Sábado","Julio"
"Curazao","Caribe",2016-06-02,"EAuL12047oIsS18",77,22,55,27,0.49,15,4,9,2016,6,2,"Jueves","Junio"
"Haiti","Caribe",2015-05-13,"EAuL11907dSiI88",103,38,65,45,0.69,7,3,3,2015,5,13,"Miércoles","Mayo"
"Curazao","Caribe",2016-08-25,"EAuL11843jGtT510",25,6,19,7,0.37,5,5,9,2016,8,25,"Jueves","Agosto"
"Curazao","Caribe",2015-04-23,"EAuL11974tVfF51",85,25,60,30,0.5,9,1,8,2015,4,23,"Jueves","Abril"
"Rep_Dominicana","Caribe",2015-08-01,"EAuL11936uTnN610",78,27,51,33,0.65,13,1,9,2015,8,1,"Sábado","Agosto"
"Rep_Dominicana","Caribe",2015-01-23,"EAuL12080hTuU64",62,26,36,32,0.89,6,3,2,2015,1,23,"Viernes","Enero"
"Trinidad_y_Tobago","Caribe",2016-10-24,"EAuL11882sSzZ56",29,7,22,13,0.59,17,5,8,2016,10,24,"Lunes","Octubre"
"Rep_Dominicana","Caribe",2015-12-19,"EAuL12132lJtT25",70,23,47,28,0.6,14,1,8,2015,12,19,"Sábado","Diciembre"
"Rep_Dominicana","Caribe",2016-02-03,"EAuL11929aPnN810",97,30,67,38,0.57,9,1,10,2016,2,3,"Miércoles","Febrero"
"Trinidad_y_Tobago","Caribe",2016-05-22,"EAuL12218iMaA97",42,6,36,7,0.19,26,1,4,2016,5,22,"Domingo","Mayo"
"Santa_Lucía","Caribe",2015-10-26,"EAuL11824lQxX68",47,18,29,26,0.9,12,2,2,2015,10,26,"Lunes","Octubre"
"Rep_Dominicana","Caribe",2016-02-24,"EAuL11976bXjJ68",76,27,49,35,0.71,28,4,1,2016,2,24,"Miércoles","Febrero"
"Jamaica","Caribe",2016-12-21,"EAuL11711dMeE71",114,45,69,50,0.72,15,3,6,2016,12,21,"Miércoles","Diciembre"
"Santa_Lucía","Caribe",2015-01-31,"EAuL11937yWzZ57",32,8,24,16,0.67,23,4,10,2015,1,31,"Sábado","Enero"
"Santa_Lucía","Caribe",2016-02-03,"EAuL12092aHyY75",79,29,50,37,0.74,19,1,3,2016,2,3,"Miércoles","Febrero"
"Santa_Lucía","Caribe",2015-01-14,"EAuL11898lQoO41",23,8,15,10,0.67,11,4,7,2015,1,14,"Miércoles","Enero"
"Curazao","Caribe",2016-07-24,"EAuL11962lJjJ88",47,6,41,11,0.27,10,4,7,2016,7,24,"Domingo","Julio"
"Curazao","Caribe",2015-05-16,"EAuL12169gPeE76",100,42,58,50,0.86,2,4,3,2015,5,16,"Sábado","Mayo"
"Curazao","Caribe",2015-08-18,"EAuL12032cVjJ52",26,7,19,8,0.42,2,4,10,2015,8,18,"Martes","Agosto"
"Trinidad_y_Tobago","Caribe",2015-03-04,"EAuL12107uKzZ26",98,39,59,45,0.76,17,1,5,2015,3,4,"Miércoles","Marzo"
"Rep_Dominicana","Caribe",2016-09-08,"EAuL11961sTkK15",39,15,24,22,0.92,12,4,9,2016,9,8,"Jueves","Septiembre"
"Curazao","Caribe",2016-01-21,"EAuL11898lIoO106",20,9,11,10,0.91,10,3,2,2016,1,21,"Jueves","Enero"
"Jamaica","Caribe",2015-12-27,"EAuL11906lBaA48",51,10,41,15,0.37,13,2,6,2015,12,27,"Domingo","Diciembre"
"Trinidad_y_Tobago","Caribe",2015-11-30,"EAuL12232gTfF106",95,29,66,36,0.55,13,1,2,2015,11,30,"Lunes","Noviembre"
"Guadalupe","Caribe",2015-04-03,"EAuL11759gFuU101",98,34,64,42,0.66,6,3,1,2015,4,3,"Viernes","Abril"
"Curazao","Caribe",2016-04-12,"EAuL11836yQaA94",26,3,23,11,0.48,18,3,1,2016,4,12,"Martes","Abril"
"Islas_Caiman","Caribe",2015-11-15,"EAuL11954hUvV610",48,7,41,15,0.37,15,2,5,2015,11,15,"Domingo","Noviembre"
"Santa_Lucía","Caribe",2016-03-15,"EAuL11957yNcC27",51,19,32,26,0.81,14,1,5,2016,3,15,"Martes","Marzo"
"San_Martín","Caribe",2016-08-24,"EAuL11906qFzZ101",79,28,51,34,0.67,16,1,8,2016,8,24,"Miércoles","Agosto"
"Guadalupe","Caribe",2015-10-01,"EAuL12046xOcC75",63,25,38,32,0.84,29,5,1,2015,10,1,"Jueves","Octubre"
"Barbados","Caribe",2016-02-09,"EAuL11863gVyY710",40,7,33,12,0.36,27,4,5,2016,2,9,"Martes","Febrero"
"Trinidad_y_Tobago","Caribe",2015-08-14,"EAuL11951lNdD33",48,17,31,22,0.71,30,3,1,2015,8,14,"Viernes","Agosto"
"San_Martín","Caribe",2015-01-19,"EAuL11954uHdD49",88,39,49,47,0.96,19,3,4,2015,1,19,"Lunes","Enero"
"Barbados","Caribe",2015-09-23,"EAuL12030pQuU79",63,14,49,19,0.39,24,4,3,2015,9,23,"Miércoles","Septiembre"
"Barbados","Caribe",2015-10-07,"EAuL11982hTlL13",61,25,36,30,0.83,11,2,4,2015,10,7,"Miércoles","Octubre"
"Curazao","Caribe",2015-08-13,"EAuL12047cWbB23",90,30,60,35,0.58,3,4,6,2015,8,13,"Jueves","Agosto"
"Curazao","Caribe",2015-08-04,"EAuL11814jMnN85",106,41,65,49,0.75,12,4,8,2015,8,4,"Martes","Agosto"
"Rep_Dominicana","Caribe",2016-03-03,"EAuL12063zKpP32",44,6,38,8,0.21,14,4,7,2016,3,3,"Jueves","Marzo"
"Barbados","Caribe",2015-06-02,"EAuL12087xCqQ92",105,45,60,50,0.83,25,5,3,2015,6,2,"Martes","Junio"
"Curazao","Caribe",2015-01-28,"EAuL11943nGwW63",67,28,39,34,0.87,18,3,1,2015,1,28,"Miércoles","Enero"
"Santa_Lucía","Caribe",2016-06-23,"EAuL11921gZwW42",12,4,8,6,0.75,29,1,1,2016,6,23,"Jueves","Junio"
"Guadalupe","Caribe",2016-03-09,"EAuL11903pEdD71",81,33,48,39,0.81,14,4,3,2016,3,9,"Miércoles","Marzo"
"Rep_Dominicana","Caribe",2016-07-13,"EAuL11878tMfF29",93,35,58,40,0.69,7,5,8,2016,7,13,"Miércoles","Julio"
"Santa_Lucía","Caribe",2015-10-02,"EAuL11808vNkK21",80,27,53,33,0.62,29,1,4,2015,10,2,"Viernes","Octubre"
"Islas_Caiman","Caribe",2015-10-14,"EAuL11706yHnN21",29,10,19,16,0.84,28,3,4,2015,10,14,"Miércoles","Octubre"
"Rep_Dominicana","Caribe",2016-07-18,"EAuL11801zDcC11",58,21,37,28,0.76,28,3,4,2016,7,18,"Lunes","Julio"
"Rep_Dominicana","Caribe",2015-12-07,"EAuL11891yKzZ29",83,29,54,36,0.67,23,2,3,2015,12,7,"Lunes","Diciembre"
"Curazao","Caribe",2016-12-31,"EAuL11916cKqQ101",108,43,65,50,0.77,24,4,8,2016,12,31,"Sábado","Diciembre"
"Jamaica","Caribe",2015-01-11,"EAuL11944xNrR98",83,35,48,42,0.88,26,4,6,2015,1,11,"Domingo","Enero"
"Curazao","Caribe",2016-06-28,"EAuL12102mSpP53",74,27,47,32,0.68,21,1,9,2016,6,28,"Martes","Junio"
"San_Martín","Caribe",2015-11-12,"EAuL11921sJzZ110",51,9,42,16,0.38,12,3,4,2015,11,12,"Jueves","Noviembre"
"Santa_Lucía","Caribe",2016-10-11,"EAuL12042sXvV68",21,5,16,11,0.69,3,5,7,2016,10,11,"Martes","Octubre"
"Jamaica","Caribe",2015-07-18,"EAuL12273dOuU78",69,17,52,24,0.46,18,3,1,2015,7,18,"Sábado","Julio"
"Rep_Dominicana","Caribe",2015-07-21,"EAuL11939vKmM79",102,40,62,46,0.74,15,5,8,2015,7,21,"Martes","Julio"
"Curazao","Caribe",2015-12-24,"EAuL12015mVzZ106",15,3,12,5,0.42,27,1,8,2015,12,24,"Jueves","Diciembre"
"Curazao","Caribe",2016-02-25,"EAuL11982sYnN21",48,16,32,23,0.72,8,1,10,2016,2,25,"Jueves","Febrero"
"Haiti","Caribe",2016-06-15,"EAuL12034pDmM105",86,34,52,41,0.79,28,2,10,2016,6,15,"Miércoles","Junio"
"Curazao","Caribe",2016-04-29,"EAuL12180qOtT410",70,22,48,30,0.62,19,4,8,2016,4,29,"Viernes","Abril"
"Jamaica","Caribe",2016-02-24,"EAuL12200bKpP27",70,30,40,37,0.92,14,3,2,2016,2,24,"Miércoles","Febrero"
"Curazao","Caribe",2015-12-14,"EAuL11824oXpP106",104,40,64,46,0.72,9,1,8,2015,12,14,"Lunes","Diciembre"
"Santa_Lucía","Caribe",2015-07-05,"EAuL11943gMmM24",35,7,28,15,0.54,2,5,2,2015,7,5,"Domingo","Julio"
"Curazao","Caribe",2016-04-29,"EAuL11999mGaA16",119,43,76,49,0.64,28,1,3,2016,4,29,"Viernes","Abril"
"Santa_Lucía","Caribe",2016-12-08,"EAuL12066lDvV79",31,4,27,5,0.19,2,3,8,2016,12,8,"Jueves","Diciembre"
"Barbados","Caribe",2015-09-10,"EAuL12000uAnN12",33,9,24,17,0.71,2,1,6,2015,9,10,"Jueves","Septiembre"
"Barbados","Caribe",2016-03-23,"EAuL11949iVwW74",56,18,38,23,0.61,6,1,5,2016,3,23,"Miércoles","Marzo"
"Jamaica","Caribe",2015-09-17,"EAuL12003zCmM19",70,28,42,36,0.86,7,4,8,2015,9,17,"Jueves","Septiembre"
"Barbados","Caribe",2016-09-17,"EAuL12046oBbB410",83,26,57,34,0.6,23,1,9,2016,9,17,"Sábado","Septiembre"
"Haiti","Caribe",2016-05-18,"EAuL12091lKoO98",21,7,14,12,0.86,30,5,3,2016,5,18,"Miércoles","Mayo"
"Curazao","Caribe",2015-12-07,"EAuL11735pWbB94",44,16,28,24,0.86,3,1,1,2015,12,7,"Lunes","Diciembre"
"Haiti","Caribe",2015-03-17,"EAuL12057sXpP22",42,13,29,21,0.72,3,2,1,2015,3,17,"Martes","Marzo"
"Haiti","Caribe",2016-10-07,"EAuL11977mCfF73",77,20,57,27,0.47,11,3,1,2016,10,7,"Viernes","Octubre"
"Barbados","Caribe",2015-12-03,"EAuL11952lKsS31",67,23,44,31,0.7,21,5,8,2015,12,3,"Jueves","Diciembre"
"Guadalupe","Caribe",2015-09-01,"EAuL11988yAaA610",94,39,55,46,0.84,25,1,3,2015,9,1,"Martes","Septiembre"
"Islas_Caiman","Caribe",2015-08-01,"EAuL12147vBrR74",80,27,53,35,0.66,11,5,10,2015,8,1,"Sábado","Agosto"
"Jamaica","Caribe",2015-06-25,"EAuL12025wTvV89",58,12,46,20,0.43,18,3,7,2015,6,25,"Jueves","Junio"
"Guadalupe","Caribe",2016-01-23,"EAuL11973zHwW14",95,34,61,42,0.69,12,3,4,2016,1,23,"Sábado","Enero"
"Rep_Dominicana","Caribe",2016-03-18,"EAuL11904cItT910",36,7,29,13,0.45,30,2,2,2016,3,18,"Viernes","Marzo"
"Curazao","Caribe",2015-03-11,"EAuL12102nJgG84",30,6,24,13,0.54,18,3,5,2015,3,11,"Miércoles","Marzo"
"Curazao","Caribe",2016-04-15,"EAuL11844hYkK74",104,39,65,45,0.69,28,1,9,2016,4,15,"Viernes","Abril"
"San_Martín","Caribe",2015-01-21,"EAuL11775rRyY105",31,11,20,17,0.85,22,5,4,2015,1,21,"Miércoles","Enero"
"Curazao","Caribe",2015-03-26,"EAuL12077pZlL78",60,13,47,21,0.45,6,1,2,2015,3,26,"Jueves","Marzo"
"Jamaica","Caribe",2016-08-03,"EAuL11836zSrR37",110,38,72,44,0.61,18,4,1,2016,8,3,"Miércoles","Agosto"
"Haiti","Caribe",2015-12-20,"EAuL11979dJmM39",48,19,29,25,0.86,3,3,8,2015,12,20,"Domingo","Diciembre"
"Trinidad_y_Tobago","Caribe",2015-09-25,"EAuL12108vBbB86",68,26,42,34,0.81,17,3,8,2015,9,25,"Viernes","Septiembre"
"Trinidad_y_Tobago","Caribe",2016-08-01,"EAuL12092xBrR48",85,29,56,34,0.61,23,2,3,2016,8,1,"Lunes","Agosto"
"Haiti","Caribe",2015-04-06,"EAuL12031zSpP73",44,7,37,13,0.35,24,3,9,2015,4,6,"Lunes","Abril"
"Jamaica","Caribe",2016-08-23,"EAuL12125tDoO16",42,12,30,17,0.57,6,3,5,2016,8,23,"Martes","Agosto"
"Jamaica","Caribe",2016-03-02,"EAuL12127rTdD610",46,12,34,19,0.56,8,3,10,2016,3,2,"Miércoles","Marzo"
"Trinidad_y_Tobago","Caribe",2016-07-03,"EAuL12087dBiI81",59,22,37,29,0.78,14,3,1,2016,7,3,"Domingo","Julio"
"Santa_Lucía","Caribe",2015-03-12,"EAuL11960xRoO67",54,23,31,30,0.97,19,5,5,2015,3,12,"Jueves","Marzo"
"Barbados","Caribe",2015-08-18,"EAuL11971rEuU25",22,7,15,9,0.6,29,3,3,2015,8,18,"Martes","Agosto"
"Curazao","Caribe",2016-07-06,"EAuL11781yLtT93",37,5,32,7,0.22,13,5,3,2016,7,6,"Miércoles","Julio"
"Haiti","Caribe",2016-05-14,"EAuL11931tOcC110",74,27,47,35,0.74,3,3,6,2016,5,14,"Sábado","Mayo"
"San_Martín","Caribe",2015-11-18,"EAuL12123iJmM43",27,9,18,17,0.94,9,5,1,2015,11,18,"Miércoles","Noviembre"
"Jamaica","Caribe",2016-10-21,"EAuL11892iIaA83",118,40,78,48,0.62,13,4,4,2016,10,21,"Viernes","Octubre"
"Santa_Lucía","Caribe",2016-07-11,"EAuL11981qZoO18",64,24,40,30,0.75,23,1,10,2016,7,11,"Lunes","Julio"
"Jamaica","Caribe",2015-03-01,"EAuL12037kUgG21",90,39,51,45,0.88,3,5,8,2015,3,1,"Domingo","Marzo"
"Haiti","Caribe",2015-02-07,"EAuL11964yEbB21",86,36,50,44,0.88,28,2,7,2015,2,7,"Sábado","Febrero"
"Jamaica","Caribe",2015-04-25,"EAuL11963xNeE94",66,28,38,36,0.95,27,2,5,2015,4,25,"Sábado","Abril"
"Rep_Dominicana","Caribe",2016-02-27,"EAuL11997sPcC69",87,34,53,42,0.79,4,5,5,2016,2,27,"Sábado","Febrero"
"Guadalupe","Caribe",2016-03-09,"EAuL12024kIgG103",62,20,42,27,0.64,3,4,7,2016,3,9,"Miércoles","Marzo"
"Guadalupe","Caribe",2015-12-24,"EAuL11929rLjJ910",53,13,40,18,0.45,14,1,1,2015,12,24,"Jueves","Diciembre"
"Haiti","Caribe",2016-07-20,"EAuL12157sKhH410",72,20,52,25,0.48,23,4,7,2016,7,20,"Miércoles","Julio"
"Guadalupe","Caribe",2015-10-08,"EAuL11988oTkK59",86,26,60,33,0.55,24,3,1,2015,10,8,"Jueves","Octubre"
"Haiti","Caribe",2015-04-17,"EAuL12028pDbB33",100,36,64,43,0.67,16,1,7,2015,4,17,"Viernes","Abril"
"Rep_Dominicana","Caribe",2016-05-03,"EAuL11980bNnN34",54,21,33,27,0.82,11,5,7,2016,5,3,"Martes","Mayo"
"San_Martín","Caribe",2015-05-19,"EAuL11933eVxX84",30,4,26,6,0.23,20,1,9,2015,5,19,"Martes","Mayo"
"Rep_Dominicana","Caribe",2016-02-18,"EAuL11978aCzZ1010",64,22,42,29,0.69,19,4,4,2016,2,18,"Jueves","Febrero"
"Trinidad_y_Tobago","Caribe",2016-07-23,"EAuL11969bTsS17",89,41,48,47,0.98,5,4,2,2016,7,23,"Sábado","Julio"
"Jamaica","Caribe",2016-10-08,"EAuL11915oWjJ46",101,34,67,42,0.63,18,5,6,2016,10,8,"Sábado","Octubre"
"Haiti","Caribe",2016-07-27,"EAuL11917aEgG91",46,18,28,26,0.93,7,3,7,2016,7,27,"Miércoles","Julio"
"Jamaica","Caribe",2016-12-07,"EAuL12018iFzZ81",36,6,30,12,0.4,18,5,7,2016,12,7,"Miércoles","Diciembre"
"Barbados","Caribe",2016-07-31,"EAuL12242vVgG810",71,24,47,30,0.64,25,2,4,2016,7,31,"Domingo","Julio"
"San_Martín","Caribe",2016-02-08,"EAuL12052hEcC22",32,3,29,11,0.38,25,1,1,2016,2,8,"Lunes","Febrero"
"Barbados","Caribe",2016-12-31,"EAuL11844aFlL106",38,4,34,5,0.15,6,4,1,2016,12,31,"Sábado","Diciembre"
"Jamaica","Caribe",2016-10-21,"EAuL11927uQcC53",52,9,43,17,0.4,26,5,2,2016,10,21,"Viernes","Octubre"
"Rep_Dominicana","Caribe",2015-01-30,"EAuL11858qOnN32",54,22,32,28,0.88,24,1,6,2015,1,30,"Viernes","Enero"
"Islas_Caiman","Caribe",2016-08-02,"EAuL11904fUuU62",101,35,66,41,0.62,17,2,5,2016,8,2,"Martes","Agosto"
"Haiti","Caribe",2016-09-17,"EAuL12030kOeE53",107,35,72,43,0.6,19,4,6,2016,9,17,"Sábado","Septiembre"
"Trinidad_y_Tobago","Caribe",2016-03-07,"EAuL11974qSxX55",31,8,23,14,0.61,1,3,6,2016,3,7,"Lunes","Marzo"
"Santa_Lucía","Caribe",2016-12-26,"EAuL12106sZzZ96",37,4,33,6,0.18,23,5,4,2016,12,26,"Lunes","Diciembre"
"Haiti","Caribe",2016-06-24,"EAuL12009iBoO73",49,19,30,26,0.87,5,1,8,2016,6,24,"Viernes","Junio"
"Islas_Caiman","Caribe",2016-10-12,"EAuL11887iUpP34",55,20,35,27,0.77,9,5,4,2016,10,12,"Miércoles","Octubre"
"Santa_Lucía","Caribe",2015-12-31,"EAuL12159eRfF34",62,23,39,30,0.77,10,3,2,2015,12,31,"Jueves","Diciembre"
"Santa_Lucía","Caribe",2016-01-03,"EAuL12189hRmM87",58,15,43,21,0.49,16,4,2,2016,1,3,"Domingo","Enero"
"Trinidad_y_Tobago","Caribe",2015-03-27,"EAuL12127dLyY94",51,21,30,29,0.97,10,4,3,2015,3,27,"Viernes","Marzo"
"Rep_Dominicana","Caribe",2016-06-07,"EAuL11998vSaA35",78,32,46,38,0.83,1,4,4,2016,6,7,"Martes","Junio"
"Rep_Dominicana","Caribe",2016-08-03,"EAuL11907qJlL97",38,6,32,13,0.41,30,4,5,2016,8,3,"Miércoles","Agosto"
"Rep_Dominicana","Caribe",2015-12-23,"EAuL12080vGwW51",19,7,12,8,0.67,3,1,6,2015,12,23,"Miércoles","Diciembre"
"Barbados","Caribe",2016-12-26,"EAuL11941cVdD77",116,43,73,48,0.66,1,4,1,2016,12,26,"Lunes","Diciembre"
"Trinidad_y_Tobago","Caribe",2015-05-04,"EAuL11939tIcC57",84,30,54,35,0.65,21,2,1,2015,5,4,"Lunes","Mayo"
"Barbados","Caribe",2015-07-10,"EAuL11978uJlL56",82,26,56,34,0.61,24,5,7,2015,7,10,"Viernes","Julio"
"Rep_Dominicana","Caribe",2016-04-20,"EAuL12039eEoO104",91,40,51,48,0.94,19,4,3,2016,4,20,"Miércoles","Abril"
"Rep_Dominicana","Caribe",2015-01-03,"EAuL12119gXjJ35",93,41,52,47,0.9,18,5,3,2015,1,3,"Sábado","Enero"
"Haiti","Caribe",2016-01-20,"EAuL12101nPxX53",111,41,70,47,0.67,12,3,2,2016,1,20,"Miércoles","Enero"
"Jamaica","Caribe",2015-10-26,"EAuL11883hJdD97",111,39,72,46,0.64,3,3,8,2015,10,26,"Lunes","Octubre"
"Haiti","Caribe",2016-06-16,"EAuL11845aMvV19",66,16,50,24,0.48,17,5,8,2016,6,16,"Jueves","Junio"
"Santa_Lucía","Caribe",2016-01-29,"EAuL11941eAwW59",97,32,65,38,0.58,13,4,10,2016,1,29,"Viernes","Enero"
"Islas_Caiman","Caribe",2016-11-18,"EAuL11904vOpP37",46,11,35,17,0.49,9,2,3,2016,11,18,"Viernes","Noviembre"
"Santa_Lucía","Caribe",2015-01-11,"EAuL12003tTpP109",31,5,26,7,0.27,21,5,9,2015,1,11,"Domingo","Enero"
"San_Martín","Caribe",2015-04-03,"EAuL12101rWeE26",36,3,33,11,0.33,26,2,10,2015,4,3,"Viernes","Abril"
"Haiti","Caribe",2016-12-26,"EAuL11800hLgG77",88,27,61,34,0.56,12,2,1,2016,12,26,"Lunes","Diciembre"
"San_Martín","Caribe",2016-11-08,"EAuL12004qTqQ93",22,4,18,12,0.67,13,2,8,2016,11,8,"Martes","Noviembre"
"Jamaica","Caribe",2015-07-15,"EAuL12024eNwW16",96,34,62,42,0.68,23,3,8,2015,7,15,"Miércoles","Julio"
"Curazao","Caribe",2016-04-12,"EAuL12021kKqQ61",55,10,45,16,0.36,5,4,6,2016,4,12,"Martes","Abril"
"Santa_Lucía","Caribe",2016-07-04,"EAuL12082sFwW53",28,9,19,17,0.89,29,1,1,2016,7,4,"Lunes","Julio"
"Trinidad_y_Tobago","Caribe",2015-11-16,"EAuL11855hFkK110",88,40,48,45,0.94,5,2,9,2015,11,16,"Lunes","Noviembre"
"Curazao","Caribe",2016-04-13,"EAuL11944lAxX15",38,4,34,5,0.15,6,5,4,2016,4,13,"Miércoles","Abril"
"Islas_Caiman","Caribe",2016-06-26,"EAuL12132zTfF75",43,9,34,16,0.47,3,2,2,2016,6,26,"Domingo","Junio"
"Islas_Caiman","Caribe",2015-01-01,"EAuL11725fHdD89",53,11,42,19,0.45,18,5,9,2015,1,1,"Jueves","Enero"
"Guadalupe","Caribe",2016-01-17,"EAuL12079xFpP74",81,23,58,28,0.48,30,3,8,2016,1,17,"Domingo","Enero"
"Barbados","Caribe",2015-01-18,"EAuL11861uZmM105",22,5,17,6,0.35,6,1,2,2015,1,18,"Domingo","Enero"
